# N=3,w1=1,w02=1.5,w03=2,tb=0.01,g=0.2,gamma1=1,gamma2=1, delta=1, 
#  mu1=-0.5,mu2=-0.5,beta1=5,beta2=0.5
1.000000000000000021e-03 4.340128323783431835e-09
2.000000000000000042e-03 1.736027929804923942e-08
5.000000000000000104e-03 1.084915084208858060e-07
1.000000000000000021e-02 4.338197984139314600e-07
2.000000000000000042e-02 1.732940078155246604e-06
5.000000000000000278e-02 1.072872645495410375e-05
1.000000000000000056e-01 4.146755662654325308e-05
2.000000000000000111e-01 1.437034447148506817e-04

