# N=3,w1=1,w02=1.5,w03=2,tb=0.01,g=0.15,gamma1=1,gamma2=1, delta=1, 
#  mu1=-0.5,mu2=-0.5,beta1=5,beta2=0.5
1.000000000000000021e-03 1.592893181664963496e-08
2.000000000000000042e-03 6.371502435177034065e-08
5.000000000000000104e-03 3.981881500161447193e-07
1.000000000000000021e-02 1.592313302719936669e-06
2.000000000000000042e-02 6.362225686105496309e-06
5.000000000000000278e-02 3.945682054243342075e-05
1.000000000000000056e-01 1.534651545956448610e-04
2.000000000000000111e-01 5.463596932779885701e-04

