# N=3,w1=1,w02=1.5,w03=2,tb=0.01,g=0.2,gamma1=1,gamma2=1, delta=1, 
#  mu1=-0.5,mu2=-0.5,beta1=5,beta2=0.5
1.000000000000000021e-03 1.736051329513372734e-08
2.000000000000000042e-03 6.944111719219695766e-08
5.000000000000000104e-03 4.339660336835432240e-07
1.000000000000000021e-02 1.735279193655725840e-06
2.000000000000000042e-02 6.931760312620986416e-06
5.000000000000000278e-02 4.291490581981641499e-05
1.000000000000000056e-01 1.658702265061730123e-04
2.000000000000000111e-01 5.748137788594027270e-04

