# N=3,w1=1,w02=1,w03=1,tb=0.01,g=0.2,gamma1=1,gamma2=0.2, delta=1, 
#  mu1=-0.5,mu2=-0.5,beta1=5,beta2=0.5
1.000000000000000021e-03 1.445939077312881559e-09
2.000000000000000042e-03 5.783481526136994120e-09
5.000000000000000104e-03 3.613473765928054847e-08
1.000000000000000021e-02 1.443672028089411111e-07
2.000000000000000042e-02 5.747204300546441852e-07
5.000000000000000278e-02 3.471649995898367508e-06
1.000000000000000056e-01 1.216219679311470511e-05
2.000000000000000111e-01 2.107512245827242864e-05
5.000000000000000000e-01 6.142714721870685263e-04
