# N=3,w1=1,w02=1.5,w03=2,tb=0.01,g=0.1,gamma1=1,gamma2=1, delta=1, 
#  mu1=-0.5,mu2=-0.5,beta1=5,beta2=0.5
1.000000000000000021e-03 1.123008574178790508e-08
2.000000000000000042e-03 4.491992550584887066e-08
5.000000000000000104e-03 2.807312696607055486e-07
1.000000000000000021e-02 1.122664106861527680e-06
2.000000000000000042e-02 4.486477964913210205e-06
5.000000000000000278e-02 2.785687945628913731e-05
1.000000000000000056e-01 1.087624927427264902e-04
2.000000000000000111e-01 3.907125554305094020e-04

